	n_comp	class_train	method_train
0	2	9.068737421855977e-20	7.381712359657316e-13
1	3	2.17030353522925e-22	2.4643800090869487e-13
2	4	3.994879713634129e-24	3.613464087899954e-19
3	5	1.816047709641494e-24	2.488820316165769e-21
4	6	1.2581710797862928e-24	1.1510927252185433e-22
5	7	2.8530256031924274e-24	1.3930894226984517e-22
6	8	1.3893334701712523e-23	9.01914203924933e-25
7	9	1.5189571125005888e-24	1.0136615107962487e-24
8	10	3.423487472507237e-24	4.0326095887067976e-24
9	11	6.082492932445197e-24	4.833846016418877e-24
10	12	1.9816849321899544e-24	6.803781125622501e-25
11	13	1.2645270061760928e-21	1.9898273792572036e-24
12	14	9.835612792674587e-21	2.5193724523543302e-24
13	15	1.6659243480686508e-21	2.236596742588221e-23
14	16	8.556852826844497e-17	2.065056554606256e-23
15	17	3.4924234911241125e-11	2.5824471107491806e-21
16	18	0.00010247503089467661	2.6492016254681306e-14
17	19	0.015678172565258778	2.8376782646183555e-08
18	20	0.9600575410338251	0.0002593549674767789
