metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CBO,0,1,6,13,13,19,15,22,20,28,28,33,33,45,47,48,50,61,67
CLOC,4,6,10,13,17,25,22,25,38,45,39,58,61,64,70,74,74,74,74
DIT,0,3,4,7,10,12,19,31,28,24,31,39,36,37,39,39,55,53,63
LCOM5,1,4,8,9,9,10,19,16,20,21,23,37,31,41,44,51,57,66,73
LLOC,20,18,29,47,47,50,51,63,61,66,73,71,73,74,73,74,74,74,74
LOC,34,59,59,61,60,69,69,74,73,74,74,74,74,74,74,74,74,74,74
NLM,0,3,8,14,16,20,15,16,26,38,37,33,32,45,51,53,60,66,74
NM,0,4,9,6,17,20,19,29,31,32,39,45,52,56,64,70,74,72,74
NOA,0,2,5,8,8,13,11,20,24,30,25,29,35,40,41,40,43,49,63
NOC,0,3,5,11,14,20,18,15,26,29,27,29,38,39,41,53,57,68,71
NOD,0,5,8,9,15,14,23,16,26,27,33,38,34,43,55,61,61,68,72
NOI,0,3,3,7,7,17,12,20,25,21,37,35,35,26,42,42,45,51,57
NOP,0,3,4,9,10,11,21,28,24,26,34,37,41,41,44,41,50,47,57
NOS,2,7,13,22,23,21,30,36,37,43,52,54,62,67,72,74,74,74,74
RFC,1,2,9,6,15,15,18,21,26,30,31,35,42,43,51,59,61,70,73
TLLOC,23,25,34,33,43,49,55,57,66,66,69,74,74,74,74,74,74,74,74
TLOC,56,51,58,57,67,65,74,73,73,73,74,74,74,74,74,74,74,74,74
TNLM,0,4,5,6,14,16,16,23,24,31,30,37,43,45,39,55,59,70,70
TNM,2,4,4,8,15,20,27,22,35,36,48,38,53,58,61,66,72,73,74
TNOS,4,11,10,16,18,20,34,32,38,46,50,53,66,70,70,74,73,74,74
WMC,1,4,5,8,6,12,24,27,19,28,34,39,47,54,58,62,71,74,74
