LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
1.0,,,0.4929520880789283,0.04905476217399692,,,0.3323518188916032,0.9506497916306664,,0.5659736360822243,0.11951402909161313,0.11695751731560788,0.03920531877548543,0.11695751731560788,0.03920531877548543,0.7315605729234589,0.7239727872296207,,0.6799205321727,,0.9621697176929184,0.681831826238545,0.7312499435903248,0.7234343129253795,,0.6978616095427629,,0.9614129052299184,0.6826456402445705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4929520880789283,,,1.0,0.40626110695369794,,,0.3510935546955399,0.5632994325098374,,0.3762852575583028,0.30159407788177955,0.29833495652516995,0.2958799102330119,0.29833495652516995,0.2958799102330119,0.6969721353256368,0.6216735536209245,,0.7166645365916593,,0.5523020291671973,0.7891312946394453,0.6965255504537264,0.6210137617248199,,0.6992695050705577,,0.5446178220288569,0.7879825276463729
0.04905476217399692,,,0.40626110695369794,1.0,,,0.4259063718233279,0.12061034214910506,,0.058727549562561286,0.7013328794510062,0.7086834322353452,0.7440223256869012,0.7086834322353452,0.7440223256869012,0.11719096325611222,0.0585639483711084,,0.49649677577176005,,0.07770555415044103,0.2363528367071643,0.11683994732707058,0.05797117492126035,,0.4960908384158768,,0.08432945399817673,0.23835772230153351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3323518188916032,,,0.3510935546955399,0.4259063718233279,,,1.0,0.4979984722781132,,0.0707519263385748,0.3589592422312748,0.3671092768117975,0.3253832853869816,0.3671092768117975,0.3253832853869816,0.2669804384616586,0.22095120866876758,,0.49729756980940676,,0.40854666551059743,0.42503037458402076,0.2663831911011431,0.22010377514627869,,0.5541959450655766,,0.41322995716025906,0.426983829215297
0.9506497916306664,,,0.5632994325098374,0.12061034214910506,,,0.4979984722781132,1.0,,0.5187345870180456,0.1782787224595262,0.17688758068424815,0.09261518013195766,0.17688758068424815,0.09261518013195766,0.7383090096444321,0.7154683774096782,,0.7223640047207462,,0.9949613518953484,0.7548968874149229,0.7380000961224638,0.7148878692951345,,0.7561491055984706,,0.9942930417780428,0.7559342959261608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5659736360822243,,,0.3762852575583028,0.058727549562561286,,,0.0707519263385748,0.5187345870180456,,1.0,0.18234598632213464,0.17781793133207377,0.12562834695064956,0.17781793133207377,0.12562834695064956,0.7550777120676246,0.7691628427352973,,0.4707661102597137,,0.5378076863802896,0.32948554405529895,0.755014668377892,0.7690092924989657,,0.4533230379715776,,0.529752961379241,0.32820777763707115
0.11951402909161313,,,0.30159407788177955,0.7013328794510062,,,0.3589592422312748,0.1782787224595262,,0.18234598632213464,1.0,0.9960385497303946,0.9538950795137372,0.9960385497303946,0.9538950795137372,0.13395543081334854,0.10196343973414645,,0.5742394830904715,,0.14614382383314503,0.10335188368055515,0.13432305496753677,0.10209849791553958,,0.5598907869892832,,0.14517416734899755,0.10318381902929108
0.11695751731560788,,,0.29833495652516995,0.7086834322353452,,,0.3671092768117975,0.17688758068424815,,0.17781793133207377,0.9960385497303946,1.0,0.9554984742521136,1.0,0.9554984742521136,0.13503309279214656,0.1027689561685651,,0.5703520030898308,,0.14373732437413503,0.10888852790183975,0.13545703362964356,0.1029453996279157,,0.55681527750494,,0.1432100331068647,0.1087777686417893
0.03920531877548543,,,0.2958799102330119,0.7440223256869012,,,0.3253832853869816,0.09261518013195766,,0.12562834695064956,0.9538950795137372,0.9554984742521136,1.0,0.9554984742521139,1.0,0.08608969836731585,0.04881147124928127,,0.5117071170358761,,0.05986161756861867,0.07575705058447813,0.08606990153449906,0.048575661552047504,,0.49840587175394774,,0.05876177169588389,0.07514521791297628
0.11695751731560788,,,0.29833495652516995,0.7086834322353452,,,0.3671092768117975,0.17688758068424815,,0.17781793133207377,0.9960385497303946,1.0,0.9554984742521139,1.0,0.9554984742521136,0.13503309279214656,0.1027689561685651,,0.5703520030898308,,0.14373732437413503,0.10888852790183975,0.13545703362964356,0.1029453996279157,,0.55681527750494,,0.1432100331068647,0.1087777686417893
0.03920531877548543,,,0.2958799102330119,0.7440223256869012,,,0.3253832853869816,0.09261518013195766,,0.12562834695064956,0.9538950795137372,0.9554984742521136,1.0,0.9554984742521136,1.0,0.08608969836731585,0.04881147124928127,,0.5117071170358761,,0.05986161756861867,0.07575705058447813,0.08606990153449906,0.048575661552047504,,0.49840587175394774,,0.05876177169588389,0.07514521791297628
0.7315605729234589,,,0.6969721353256368,0.11719096325611222,,,0.2669804384616586,0.7383090096444321,,0.7550777120676246,0.13395543081334854,0.13503309279214656,0.08608969836731585,0.13503309279214656,0.08608969836731585,1.0,0.986460734666527,,0.602081888395929,,0.7462309855503523,0.780257483369491,0.999928023514787,0.9862152625594255,,0.5992549205635384,,0.7393313734539098,0.7794168301171059
0.7239727872296207,,,0.6216735536209245,0.0585639483711084,,,0.22095120866876758,0.7154683774096782,,0.7691628427352973,0.10196343973414645,0.1027689561685651,0.04881147124928127,0.1027689561685651,0.04881147124928127,0.986460734666527,1.0,,0.5359705727088591,,0.7275120514988352,0.7171623043067386,0.9865059409059153,0.9999271163058598,,0.5340030332827701,,0.7206040560306721,0.7163501059925851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6799205321727,,,0.7166645365916593,0.49649677577176005,,,0.49729756980940676,0.7223640047207462,,0.4707661102597137,0.5742394830904715,0.5703520030898308,0.5117071170358761,0.5703520030898308,0.5117071170358761,0.602081888395929,0.5359705727088591,,1.0,,0.7028200370881789,0.6186234379122686,0.6025678999543435,0.5361015326454815,,0.9924705347879313,,0.7015211465013746,0.6191789010758791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9621697176929184,,,0.5523020291671973,0.07770555415044103,,,0.40854666551059743,0.9949613518953484,,0.5378076863802896,0.14614382383314503,0.14373732437413503,0.05986161756861867,0.14373732437413503,0.05986161756861867,0.7462309855503523,0.7275120514988352,,0.7028200370881789,,1.0,0.745417330130611,0.7459748934753894,0.7269990212755693,,0.7318017952554497,,0.9987551173160312,0.7462833920624644
0.681831826238545,,,0.7891312946394453,0.2363528367071643,,,0.42503037458402076,0.7548968874149229,,0.32948554405529895,0.10335188368055515,0.10888852790183975,0.07575705058447813,0.10888852790183975,0.07575705058447813,0.780257483369491,0.7171623043067386,,0.6186234379122686,,0.745417330130611,1.0,0.7798753256826791,0.7165312613654823,,0.6223142788047408,,0.739970384117866,0.9998699010256256
0.7312499435903248,,,0.6965255504537264,0.11683994732707058,,,0.2663831911011431,0.7380000961224638,,0.755014668377892,0.13432305496753677,0.13545703362964356,0.08606990153449906,0.13545703362964356,0.08606990153449906,0.999928023514787,0.9865059409059153,,0.6025678999543435,,0.7459748934753894,0.7798753256826791,1.0,0.9864044226200704,,0.5999426431689265,,0.7393693522590973,0.7791553021659744
0.7234343129253795,,,0.6210137617248199,0.05797117492126035,,,0.22010377514627869,0.7148878692951345,,0.7690092924989657,0.10209849791553958,0.1029453996279157,0.048575661552047504,0.1029453996279157,0.048575661552047504,0.9862152625594255,0.9999271163058598,,0.5361015326454815,,0.7269990212755693,0.7165312613654823,0.9864044226200704,1.0,,0.5343169093754927,,0.7203620633270849,0.71583517730145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6978616095427629,,,0.6992695050705577,0.4960908384158768,,,0.5541959450655766,0.7561491055984706,,0.4533230379715776,0.5598907869892832,0.55681527750494,0.49840587175394774,0.55681527750494,0.49840587175394774,0.5992549205635384,0.5340030332827701,,0.9924705347879313,,0.7318017952554497,0.6223142788047408,0.5999426431689265,0.5343169093754927,,1.0,,0.7330263553856109,0.6236231219023564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9614129052299184,,,0.5446178220288569,0.08432945399817673,,,0.41322995716025906,0.9942930417780428,,0.529752961379241,0.14517416734899755,0.1432100331068647,0.05876177169588389,0.1432100331068647,0.05876177169588389,0.7393313734539098,0.7206040560306721,,0.7015211465013746,,0.9987551173160312,0.739970384117866,0.7393693522590973,0.7203620633270849,,0.7330263553856109,,1.0,0.7415531125921828
0.6826456402445705,,,0.7879825276463729,0.23835772230153351,,,0.426983829215297,0.7559342959261608,,0.32820777763707115,0.10318381902929108,0.1087777686417893,0.07514521791297628,0.1087777686417893,0.07514521791297628,0.7794168301171059,0.7163501059925851,,0.6191789010758791,,0.7462833920624644,0.9998699010256256,0.7791553021659744,0.71583517730145,,0.6236231219023564,,0.7415531125921828,1.0
