McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS
1.0,,,,0.3208336181332446,,0.16151287214951188,-0.03004349980047445,,0.16261381750257844,0.427590062700729,0.4724734802765663,0.6649988215215851,0.051364886527341884,0.41690765008343517,0.46840053399798676,0.6553559790465844
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.3208336181332446,,,,1.0,,-0.09066385708023668,-0.1792880349443372,,-0.08880782747590925,0.1251319239675381,0.09459983774003429,0.41468831674224266,-0.19416988428821255,0.12716512850194442,0.0975577710222972,0.4165946773149704
,,,,,,,,,,,,,,,,
0.16151287214951188,,,,-0.09066385708023668,,1.0,0.9389456252725394,,0.9999090432839308,0.10716025778802431,0.5595384132579567,0.04930176928143294,0.10783800234713138,0.08465463695420761,0.5400402266408949,0.029591163952340786
-0.03004349980047445,,,,-0.1792880349443372,,0.9389456252725394,1.0,,0.938369664161518,0.022727916951374223,0.445736823763318,-0.12815477819959015,0.11799875622296102,0.0038671840393629245,0.4286397520170579,-0.1426841729518109
,,,,,,,,,,,,,,,,
0.16261381750257844,,,,-0.08880782747590925,,0.9999090432839308,0.938369664161518,,1.0,0.10827194848454617,0.5603513922591962,0.05048012777942738,0.10674504528752299,0.08661891385855144,0.5415888026997778,0.03160312600203677
0.427590062700729,,,,0.1251319239675381,,0.10716025778802431,0.022727916951374223,,0.10827194848454617,1.0,0.8740825219693289,0.6775642001711668,0.37103404927921924,0.9958898049409259,0.8823432667839637,0.6826124221434818
0.4724734802765663,,,,0.09459983774003429,,0.5595384132579567,0.445736823763318,,0.5603513922591962,0.8740825219693289,1.0,0.6323156121888552,0.32476374690906906,0.8599957420995539,0.9972696841952043,0.6262006591859435
0.6649988215215851,,,,0.41468831674224266,,0.04930176928143294,-0.12815477819959015,,0.05048012777942738,0.6775642001711668,0.6323156121888552,1.0,-0.0034547234545977026,0.6726212139302787,0.6352760104263651,0.9962596608827247
0.051364886527341884,,,,-0.19416988428821255,,0.10783800234713138,0.11799875622296102,,0.10674504528752299,0.37103404927921924,0.32476374690906906,-0.0034547234545977026,1.0,0.37165706643219815,0.32756235194710376,0.002090093885444221
0.41690765008343517,,,,0.12716512850194442,,0.08465463695420761,0.0038671840393629245,,0.08661891385855144,0.9958898049409259,0.8599957420995539,0.6726212139302787,0.37165706643219815,1.0,0.8748236508158448,0.6852024852708464
0.46840053399798676,,,,0.0975577710222972,,0.5400402266408949,0.4286397520170579,,0.5415888026997778,0.8823432667839637,0.9972696841952043,0.6352760104263651,0.32756235194710376,0.8748236508158448,1.0,0.6353773343093774
0.6553559790465844,,,,0.4165946773149704,,0.029591163952340786,-0.1426841729518109,,0.03160312600203677,0.6826124221434818,0.6262006591859435,0.9962596608827247,0.002090093885444221,0.6852024852708464,0.6353773343093774,1.0
