,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
HCPL,1.0,0.833762984496029,0.9113376835302928,0.9950163798336744,0.9825051079758785,0.9758082583972777,0.9113376835302937,0.9950163798336726,-0.2523186495497913
HDIF,0.833762984496029,1.0,0.8398658489959843,0.844996967933526,0.9049157553473427,0.9161876317946839,0.8398658489959838,0.8449969679335251,-0.28274345586880295
HEFF,0.9113376835302928,0.8398658489959843,1.0,0.9356957537908499,0.9250503540837083,0.893503443826187,0.9999999999999998,0.9356957537908516,-0.23477997664707598
HNDB,0.9950163798336744,0.844996967933526,0.9356957537908499,1.0,0.9889025920304152,0.9716462177849988,0.9356957537908498,0.9999999999999997,-0.25923934643135527
HPL,0.9825051079758785,0.9049157553473427,0.9250503540837083,0.9889025920304152,1.0,0.9911013795653395,0.9250503540837085,0.9889025920304158,-0.29187867821763863
HPV,0.9758082583972777,0.9161876317946839,0.893503443826187,0.9716462177849988,0.9911013795653395,1.0,0.8935034438261866,0.9716462177849967,-0.2995925670655482
HTRP,0.9113376835302937,0.8398658489959838,0.9999999999999998,0.9356957537908498,0.9250503540837085,0.8935034438261866,1.0,0.9356957537908515,-0.23477997664707417
HVOL,0.9950163798336726,0.8449969679335251,0.9356957537908516,0.9999999999999997,0.9889025920304158,0.9716462177849967,0.9356957537908515,1.0,-0.25923934643136426
MI,-0.2523186495497913,-0.28274345586880295,-0.23477997664707598,-0.25923934643135527,-0.29187867821763863,-0.2995925670655482,-0.23477997664707417,-0.25923934643136426,1.0
